date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:59	18499/18499	---MC-	200	added ('OK')	image/png	etag:%2263f96a93-4843%22	https://applucrativos.com.br/wp-content/uploads/2023/02/cropped-instamoney-icon-removebg-preview-192x192.png	C:/Users/duard/Downloads/INSTA%20MONEY/DFDSFDSF/applucrativos.com.br/wp-content/uploads/2023/02/cropped-instamoney-icon-removebg-preview-192x192.png	(from https://applucrativos.com.br/app/?utm_source=instamoneyfunciona&utm_medium=Pingback&ref=PPA16E0B)
17:14:59	16891/16891	---MC-	200	added ('OK')	image/png	etag:%2263f96a93-41fb%22	https://applucrativos.com.br/wp-content/uploads/2023/02/cropped-instamoney-icon-removebg-preview-180x180.png	C:/Users/duard/Downloads/INSTA%20MONEY/DFDSFDSF/applucrativos.com.br/wp-content/uploads/2023/02/cropped-instamoney-icon-removebg-preview-180x180.png	(from https://applucrativos.com.br/app/?utm_source=instamoneyfunciona&utm_medium=Pingback&ref=PPA16E0B)
17:15:00	69922/69922	---MC-	200	added ('OK')	image/png	etag:%2263f965de-11122%22	https://applucrativos.com.br/wp-content/uploads/2023/02/subirpix-1024x263-1.png	C:/Users/duard/Downloads/INSTA%20MONEY/DFDSFDSF/applucrativos.com.br/wp-content/uploads/2023/02/subirpix-1024x263-1.png	(from https://applucrativos.com.br/app/?utm_source=instamoneyfunciona&utm_medium=Pingback&ref=PPA16E0B)
17:15:00	1160/1160	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d5a65e0b6f0ddadc2f990022894f4544%22	https://static.eplay.video/player/js/eplay.runtime.v1.js?v=vi_J4nkEE421614KzBYha&t=1677509498556	C:/Users/duard/Downloads/INSTA%20MONEY/DFDSFDSF/static.eplay.video/player/js/eplay.runtime.v1407c.js	(from https://applucrativos.com.br/app/?utm_source=instamoneyfunciona&utm_medium=Pingback&ref=PPA16E0B)
17:15:00	22824/22824	---M--	200	added ('OK')	image/jpeg	etag:%229a2dd99cfacf98a49f812bf2eba1065c%22	https://streaming.eplay.video/J4nkEE/vi_J4nkEE421614KzBYha/thumbnails/poster.jpg?v=63fcc378df870?v=1677509498556	C:/Users/duard/Downloads/INSTA%20MONEY/DFDSFDSF/streaming.eplay.video/J4nkEE/vi_J4nkEE421614KzBYha/thumbnails/poster2307.jpg	(from https://applucrativos.com.br/app/?utm_source=instamoneyfunciona&utm_medium=Pingback&ref=PPA16E0B)
17:15:01	5508/5508	---MC-	200	added ('OK')	image/png	etag:%22635ffbd8-1584%22	https://applucrativos.com.br/wp-content/uploads/2022/10/compra-segura-3-1-300x36.png	C:/Users/duard/Downloads/INSTA%20MONEY/DFDSFDSF/applucrativos.com.br/wp-content/uploads/2022/10/compra-segura-3-1-300x36.png	(from https://applucrativos.com.br/app/?utm_source=instamoneyfunciona&utm_medium=Pingback&ref=PPA16E0B)
17:15:01	146/146	---MCZ	403	error ('Forbidden')	text/html	date:Mon,%2014%20Aug%202023%2020:15:00%20GMT	https://applucrativos.com.br/app/'https://www.google.com/'	C:/Users/duard/Downloads/INSTA%20MONEY/DFDSFDSF/applucrativos.com.br/app/'https_/www.google.com/'	(from https://applucrativos.com.br/app/?utm_source=instamoneyfunciona&utm_medium=Pingback&ref=PPA16E0B)
17:15:02	1160/1160	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d5a65e0b6f0ddadc2f990022894f4544%22	https://static.eplay.video/player/js/eplay.runtime.v1.js?v=vi_J4nkEE0a1ElXYj2wT8&t=1677506267844	C:/Users/duard/Downloads/INSTA%20MONEY/DFDSFDSF/static.eplay.video/player/js/eplay.runtime.v11f20.js	(from https://applucrativos.com.br/app/?utm_source=instamoneyfunciona&utm_medium=Pingback&ref=PPA16E0B)
17:15:02	16065/16065	---M--	200	added ('OK')	image/jpeg	etag:%22400861cb6c2a12f284fdb6dee8558179%22	https://streaming.eplay.video/J4nkEE/vi_J4nkEE0a1ElXYj2wT8/thumbnails/poster.jpg?v=63fcb6d50de81?v=1677506267844	C:/Users/duard/Downloads/INSTA%20MONEY/DFDSFDSF/streaming.eplay.video/J4nkEE/vi_J4nkEE0a1ElXYj2wT8/thumbnails/posterf6d8.jpg	(from https://applucrativos.com.br/app/?utm_source=instamoneyfunciona&utm_medium=Pingback&ref=PPA16E0B)
17:15:02	1160/1160	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d5a65e0b6f0ddadc2f990022894f4544%22	https://static.eplay.video/player/js/eplay.runtime.v1.js?v=vi_J4nkEEZxzbEbwPWXCM&t=1677506353991	C:/Users/duard/Downloads/INSTA%20MONEY/DFDSFDSF/static.eplay.video/player/js/eplay.runtime.v1d71d.js	(from https://applucrativos.com.br/app/?utm_source=instamoneyfunciona&utm_medium=Pingback&ref=PPA16E0B)
